,Unnamed: 0,sample_longitude,sample_latitude,row_idx,status,radius,latitude,longitude,panorama_id,uuid
0,0,16.725157101650694,45.80887959964089,0.0,OK,,45.8102583442322,16.72203900718308,rC0RohGwjXkQX3u7rOi2XQ,a9615845-f0c3-4a46-a5fe-35e7ca32f6f0
1,1,15.87582307662098,44.38751679151152,1.0,OK,,44.38660988435789,15.88616327245129,Akbp_5oGmjsSkVFosLfhSQ,c3062ee3-f172-4c8d-9c52-11fc274f2a6a
3,3,18.27228088700853,45.388669538887015,3.0,OK,,45.38031295644289,18.27205370614476,VH8E2asCMlJ6ckrm9Fy_CA,6c82516f-7b5d-43fc-93b7-c626ca696f04
4,4,16.388529576490413,45.70260924226959,4.0,OK,,45.70269491488048,16.38900316873983,tz-G5knE3pn0qoZ8rbFc9w,a224e522-b19c-4a65-b336-7d05aedcd31e
5,5,15.56111769588921,45.43908292782911,5.0,OK,,45.43543795543364,15.55514436024076,wkak3Ailawvlm24hbLuxCA,89f5ca18-2d99-4a31-92e8-7b272def39ce
7,7,16.98000578093807,43.41627052384483,7.0,OK,,43.41798752108328,16.98839460652327,OkvsP5JIdyoZDI_hyZ6DxQ,c53361d7-3a07-41ed-9093-4522ddacd20d
8,8,15.893350822852216,45.989084412631726,8.0,OK,,45.98778570824853,15.89214736121732,hsu46xdFa8Zn3gTDLDL97Q,df02a6d9-f9a6-46df-b4af-489fbc7a2de1
9,9,15.483285330941484,45.49197237618309,9.0,OK,,45.4889465481146,15.47778542763981,FcIopFrlJQ7tbBSnuXcflw,35a66ea8-9f92-42c5-a2d7-adfcc9bc92ee
10,10,17.151629206377443,43.41338844407815,10.0,OK,,43.41593198970334,17.15306812241148,qfhCRTsNZGL--G4m7FnF5A,88555d67-72a0-4498-aa01-737ba7c69dc2
11,11,15.315739779517848,44.05544579518454,11.0,OK,,44.05411608963968,15.31478727188631,P9TpPyND87BepSRdA-wirw,8df99dd4-a72f-4127-8e1b-5113fd902eca
12,12,15.879354278253896,45.68842799055453,12.0,OK,,45.68743108417489,15.88244589206532,MiwhJ_R17H4oYsaszMgFzA,4550f806-b822-4551-9ad8-8579788cd980
15,15,13.759519318867248,45.30604143582167,15.0,OK,,45.30632861186835,13.75962644610115,5jj25qOwOL7noCnuQ2QFMA,5aba72e1-3ce1-40d2-a4d2-e2df73171482
16,16,15.518722443321728,45.30271235473748,16.0,OK,,45.30590455229205,15.52687199558818,18hPYEuw3VpMNF4DQa61_w,3fba58a4-3086-4573-8873-66fe4c28044a
17,17,16.13780932829845,45.72224768703488,17.0,OK,,45.7234276340699,16.13872823054548,th-I-gKRYc0aKAv2HtY61Q,49590c96-c2a1-4eee-973e-885fc998cb43
18,18,16.704434133060133,46.42199134472164,18.0,OK,,46.4198367613644,16.70414666103802,xoFY4BHq6oUsL3arkRpleQ,d7c01fe7-7b8a-4619-8843-992f4a03d790
19,19,17.35433947841042,45.2625545045434,19.0,OK,,45.26566637171695,17.35495793324723,cofICWRRTjW76Kpz7NfDVg,a46b7e34-65e7-4cbb-a634-26fe7419460d
20,20,16.21984580649046,43.71232746622557,20.0,OK,,43.71794206129616,16.2276116627762,w6tDrfm_ktvC4hACs6fybQ,4c21f4e3-b8a1-4798-97bb-d04fa30ed969
21,21,16.5656368683786,46.33163025483442,21.0,OK,,46.33383548028397,16.56398633605266,WD_qoJUCG_QrTdlXhi4KnQ,569a0b77-6ef7-4e40-ad6f-c42586bf3d97
24,24,15.614865881683036,46.15392113509866,24.0,OK,,46.15382089423896,15.61510812136816,V5ARj5wxpC04Cas7nRZFHQ,868e31b3-ee8b-4ee0-bbf9-10fd37667a11
26,26,15.87850893879962,43.74483871511698,26.0,OK,,43.74651140393007,15.88393234099413,ofRJ0TmHbEdvKJ7uLhk-dQ,06259aff-cea3-4f6b-a360-648124dfc073
28,28,17.99820079713587,45.47258074161,28.0,OK,,45.46739815338812,18.00751698287977,SCsn1gFWKCYt1Ev5fgLevw,3ee7ab2b-eb49-4f2b-bb01-79769ed3781d
29,29,15.67605169758623,45.16028066962575,29.0,OK,,45.16133150906525,15.67636008575367,DYs9sBdtMLsyRcpZDnGCMw,0a264a4b-0f98-4895-8deb-73b98f045bea
30,30,15.131996696435465,44.91398388826018,30.0,OK,,44.91075999326387,15.13825922493995,wawyfHe57yG1yHEkQYdasA,e391be61-b1cc-4a71-84af-82eeb87ae180
31,31,15.689130851497898,46.19058113511385,31.0,OK,,46.19271846042454,15.68918338703009,LnUBVgGtk2VmvMN-WukHgg,0c8ae019-875a-4527-81ec-90ca46b6eb74
33,33,16.388255488968564,45.12912835524017,33.0,OK,,45.13221297918582,16.38274224396671,uHRTqqsbiDvFRC7cyZDdKg,726ac207-8f21-495d-a711-f3c7106173a1
34,34,16.775687851210986,45.87509047808511,34.0,OK,,45.88206634675153,16.77964972438662,FMQq1kHt7nclWE4cwhm4yw,e7bb6437-869a-42b0-99e0-553df04b63ff
35,35,15.757349171347377,44.31317375911013,35.0,OK,,44.31889797544052,15.74865465024338,tauUeHZASwzs6x3cBCgqXA,55ef0a7c-bd9c-4fcc-b711-4d475d1d1257
36,36,16.923441719953153,46.03039838453533,36.0,OK,,46.02941381101093,16.9248812770654,O-MT24apwDdon-vsVdxJHQ,e7dcc484-7e61-424a-bba4-3b06369e09f6
40,40,18.789136176869032,45.21718088314846,40.0,OK,,45.21437036538499,18.78718052016571,TJvfIkIK-toqf2WQnMD9Tw,81377043-9110-4f6e-a248-6e2d37a7e09c
41,41,15.625677681967446,45.10165838487075,41.0,OK,,45.0988176332199,15.62290110801452,gB_2I_ffrHgt9rCwzSjoLg,73ffdd12-c0d3-4a21-9862-a06b9cfa7701
42,42,16.367850973446505,43.629792757594295,42.0,OK,,43.62957404003048,16.36746334297687,K-ZlQtmdd2G2OgnZmqAs7Q,20eff957-4942-4d64-bdf5-808678fbf21e
43,43,18.053659572096123,45.60140925259649,43.0,OK,,45.60856640970094,18.05095995397474,_SjKy_Qp4i5m0pu175bHdA,035cc1e0-73ad-4c12-8ca9-ee881a767947
45,45,17.17339091902184,43.176629096306655,45.0,OK,,43.17582292293602,17.17305788131925,a58b4yewDRlFRHcVxmlOyw,4490d438-282e-4a7b-b1b8-024ad05bb14d
48,48,15.958002899208216,45.73504901604655,48.0,OK,,45.73753549754029,15.9613587715929,1-lwVO8FCn6GaARSaiMjfg,adabaac7-2bcf-416b-9106-8a9327c5b977
49,49,16.23528526613652,45.27338816528329,49.0,OK,,45.27078357989596,16.23097537181969,lQv3HHFNeOm32qHrx0ca3Q,166e53d4-9b51-4894-80e0-01c6e3ee7757
50,50,15.490282614283364,43.94017295580816,50.0,OK,,43.94304078935312,15.48429195075126,Q37A5L2fD2CvNOatMU9zEQ,235144d7-9bf2-41cc-8d34-8e74e2f3e503
51,51,16.52114375020402,46.03622945623431,51.0,OK,,46.03881024640997,16.52483134090926,1Bf8V7ZzBPQt9K-aYGvh_g,04d30e3f-2df3-446c-a4a1-528d71a567e1
52,52,15.559287450306766,44.84460884490038,52.0,OK,,44.83867414896002,15.56486553367438,1eQGVuSj9yfw7853EchHVg,fb68b3f2-09c1-4653-b929-9c82092bddf8
53,53,13.584810460774206,45.41463669121399,53.0,OK,,45.41462074664133,13.58611799377994,-LkUN4DATI9RhZAUv976-Q,c01a8e00-2590-4b22-a243-4d0b79fd7e0d
56,56,14.309467754486764,45.46889190233335,56.0,OK,,45.46615626167578,14.30506770286407,PbBRJEX984YmEE-FInKEnQ,1c6d7c3d-b4d4-4087-bbe8-13a0fe10c92c
57,57,17.97469022865823,45.55499676061173,57.0,OK,,45.55487309385975,17.97620430142665,XZ2as6Kj09cyS-K1wNUs5Q,a1917ed6-8df1-4f5a-82d7-82789d55dccc
59,59,16.428077404062776,45.35580319353136,59.0,OK,,45.35655645407633,16.42249401027782,XaGtmms-cjVy1nqImMeBlA,fc484319-9f78-464d-a5f9-e900654bd8a8
